Year Month,Country,BNF Section plus Code,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202310,ENGLAND,Antibacterial drugs (0501),Benzylpenicillin sodium (Penicillin G) (0501011J0),19,127.048760158289,26,8.666666644,63044778
202310,ENGLAND,Antibacterial drugs (0501),Phenoxymethylpenicillin (Penicillin V) (0501011P0),212066,1644891.25722342,2734626,1367313,63044778
202310,ENGLAND,Antibacterial drugs (0501),Flucloxacillin sodium (0501012G0),334664,923208.411126688,4569354,2285020.0002161,63044778
202310,ENGLAND,Antibacterial drugs (0501),Flucloxacillin magnesium (0501012H0),2,15.7240977658294,10,5,63044778
202310,ENGLAND,Antibacterial drugs (0501),Amoxicillin (0501013B0),846572,1669006.20823147,9568277.30690731,4784138.65274321,63044778
202310,ENGLAND,Antibacterial drugs (0501),Amoxicillin sodium (0501013C0),6,205.876416072562,,32.49999987,63044778
202310,ENGLAND,Antibacterial drugs (0501),Ampicillin (0501013E0),5,250.985446465163,63.75,31.875,63044778
202310,ENGLAND,Antibacterial drugs (0501),Co-amoxiclav (Amoxicillin/clavulanic acid) (0501013K0),113352,466430.697629752,681005.665985661,765410.181686464,63044778
202310,ENGLAND,Antibacterial drugs (0501),Co-fluampicil(Flucloxacillin/ampicillin) (0501013L0),4,131.295647579924,42,,63044778
202310,ENGLAND,Antibacterial drugs (0501),Piperacillin sodium/tazobactam sodium (0501014S0),3,2498.3893501272,,48.857142906,63044778
202310,ENGLAND,Antibacterial drugs (0501),Pivmecillinam hydrochloride (0501015P0),28508,242031.912891913,,158502.999841497,63044778
202310,ENGLAND,Antibacterial drugs (0501),Cefaclor (0501021A0),329,4657.30773636297,4780.166654612,3585.125,63044778
202310,ENGLAND,Antibacterial drugs (0501),Cefadroxil (0501021B0),28,598.980008259937,284.5,142.25,63044778
202310,ENGLAND,Antibacterial drugs (0501),Cefixime (0501021C0),77,2495.3633888918,1407,703.5,63044778
202310,ENGLAND,Antibacterial drugs (0501),Cefotaxime sodium (0501021D0),3,14.6314402965606,,0.75,63044778
202310,ENGLAND,Antibacterial drugs (0501),Ceftriaxone sodium (0501021G0),50,2326.47819522782,,129.5,63044778
202310,ENGLAND,Antibacterial drugs (0501),Ceftazidime pentahydrate (0501021H0),1,23.4646370705326,,4.5,63044778
202310,ENGLAND,Antibacterial drugs (0501),Cefuroxime sodium (0501021J0),7,631.362770763785,,68.25,63044778
202310,ENGLAND,Antibacterial drugs (0501),Cefuroxime axetil (0501021K0),194,6398.71219477041,2947.75,2947.75,63044778
202310,ENGLAND,Antibacterial drugs (0501),Cefalexin (0501021L0),78296,197968.382493981,658402.5,329201.25,63044778
202310,ENGLAND,Antibacterial drugs (0501),Cefradine (0501021M0),1106,23617.8900027076,17481.5,8740.75,63044778
202310,ENGLAND,Antibacterial drugs (0501),Meropenem (0501022A0),15,6800.76118178821,,108.333333113,63044778
202310,ENGLAND,Antibacterial drugs (0501),Ertapenem sodium (0501022B0),6,1156.30519935868,,39,63044778
202310,ENGLAND,Antibacterial drugs (0501),Demeclocycline hydrochloride (0501030F0),436,229916.462833118,7202.25,7202.25,63044778
202310,ENGLAND,Antibacterial drugs (0501),Doxycycline hyclate (0501030I0),345100,558948.578885274,4330543.2,4330543.2,63044778
202310,ENGLAND,Antibacterial drugs (0501),Lymecycline (0501030L0),73023,505044.442643503,1742008.5,2369131.56,63044778
202310,ENGLAND,Antibacterial drugs (0501),Minocycline hydrochloride (0501030P0),952,15281.3302513333,38769,19384.5,63044778
202310,ENGLAND,Antibacterial drugs (0501),Oxytetracycline (0501030T0),14390,41012.1047357315,357783,357783,63044778
202310,ENGLAND,Antibacterial drugs (0501),Tetracycline (0501030V0),1524,85203.3729521452,28644,28644,63044778
