Year Month,Country,BNF Chemical Substance plus Code,BNF Presentation plus Code,Items,Actual Cost,ADQ Usage,List Size
202306,ENGLAND,Other emollient preparations (130201000),Doublebase emollient shower gel (130201000BBMFCA),2630,21855.8144922592,,62671533
202306,ENGLAND,Other emollient preparations (130201000),Doublebase emollient wash gel (130201000BBMGCA),1106,8111.52148580686,,62671533
202306,ENGLAND,Emollient bath and shower preparations (130201100),Soya oil 84.75% bath oil (130201100AAAAAA),137,897.691375904323,,62671533
202306,ENGLAND,Emollient bath and shower preparations (130201100),Soya oil 82.95% / Lauromacrogols 15% bath oil (130201100AAAGAG),78,621.365091992477,,62671533
202306,ENGLAND,Emollient bath and shower preparations (130201100),Generic Dermol 200 shower emollient (130201100AAANAN),2,13.3613159618606,,62671533
202306,ENGLAND,Emollient bath and shower preparations (130201100),E45 emollient bath oil (130201100BBAAAE),703,5065.11911016309,,62671533
202306,ENGLAND,Emollient bath and shower preparations (130201100),Aveeno bath oil (130201100BBADAH),28,197.059644717365,,62671533
202306,ENGLAND,Emollient bath and shower preparations (130201100),Balneum 84.75% bath oil (130201100BBAEAA),839,5568.71923258216,,62671533
202306,ENGLAND,Emollient bath and shower preparations (130201100),Balneum Plus bath oil (130201100BBAGAG),1761,13726.3698321975,,62671533
202306,ENGLAND,Emollient bath and shower preparations (130201100),Dermol 600 bath emollient (130201100BBAQA0),8736,69995.2767019384,,62671533
202306,ENGLAND,Emollient bath and shower preparations (130201100),Balmonds Bath & Body Oil (130201100BBAXA0),10,128.430270743614,,62671533
202306,ENGLAND,Emollient bath and shower preparations (130201100),Dermol 200 shower emollient (130201100BBAZAN),17838,98220.6319385004,,62671533
202306,ENGLAND,Emollient bath and shower preparations (130201100),Dermol Wash cutaneous emulsion (130201100BBBAAN),5094,25123.0500154601,,62671533
202306,ENGLAND,Emollient bath and shower preparations (130201100),Elave body wash (130201100BBBBA0),1,3.55973529409961,,62671533
202306,ENGLAND,Light liquid paraffin (1302011L0),Generic Oilatum Plus bath additive (1302011L0AAADAD),1,7.48344568571643,,62671533
202306,ENGLAND,Light liquid paraffin (1302011L0),Liquid paraffin light 82.8% bath additive (1302011L0AAAEAE),90,515.066042546927,,62671533
202306,ENGLAND,Light liquid paraffin (1302011L0),Liquid paraffin light 70% gel (1302011L0AAAHAH),464,4255.0665259887,,62671533
202306,ENGLAND,Light liquid paraffin (1302011L0),Liquid paraffin light 63.4% bath additive (1302011L0AAAIAI),2058,13340.6775687574,,62671533
202306,ENGLAND,Light liquid paraffin (1302011L0),Oilatum Plus bath additive (1302011L0BEAAAD),3240,27794.4783224365,,62671533
202306,ENGLAND,Light liquid paraffin (1302011L0),Cetraben emollient 82.8% bath additive (1302011L0BFAAAE),932,5838.31341287411,,62671533
202306,ENGLAND,Light liquid paraffin (1302011L0),E45 emollient wash cream (1302011L0BJAAAG),1056,4968.91970192521,,62671533
202306,ENGLAND,Light liquid paraffin (1302011L0),Oilatum gel (1302011L0BKAAAH),13,63.8062289901586,,62671533
202306,ENGLAND,Light liquid paraffin (1302011L0),Oilatum shower gel fragrance free (1302011L0BKACAH),2696,25060.1224033367,,62671533
202306,ENGLAND,Light liquid paraffin (1302011L0),Oilatum Bath Formula (1302011L0BKADAI),2873,20778.3658058861,,62671533
202306,ENGLAND,Light liquid paraffin (1302011L0),Oilatum Emollient (1302011L0BKAEAI),4074,27778.594483117,,62671533
202306,ENGLAND,Light liquid paraffin (1302011L0),Oilatum Junior bath additive (1302011L0BKAFAI),6522,46054.4409057735,,62671533
202306,ENGLAND,Liquid paraffin (1302011M0),Liquid paraffin 65% / Acetylated wool alcohols 5% bath oil (1302011M0AAAGAG),58,230.185687578799,,62671533
202306,ENGLAND,Liquid paraffin (1302011M0),Liquid paraffin 65% bath additive (1302011M0AAAIAI),48,267.244556590937,,62671533
202306,ENGLAND,Liquid paraffin (1302011M0),Emulsiderm emollient (1302011M0BBAAAE),581,5583.7529012355,,62671533
202306,ENGLAND,Liquid paraffin (1302011M0),Dermalo bath emollient (1302011M0BIAAAG),538,2110.48399512115,,62671533
202306,ENGLAND,Liquid paraffin (1302011M0),Doublebase emollient bath additive (1302011M0BKAAAI),858,5389.65532815178,,62671533
202306,ENGLAND,Other toiletry preparations (190205500),Eucerin ATOControl Bath & Shower oil (190205500BBEJA0),262,3166.27433828943,,62671533
202306,ENGLAND,Other toiletry preparations (190205500),E45 emollient shower cream (190205500BCFWA0),849,5173.0562001922,,62671533
202306,ENGLAND,Other toiletry preparations (190205500),E45 Junior foaming bath milk (190205500BCLXA0),121,645.616779400689,,62671533
202306,ENGLAND,Other toiletry preparations (190205500),Aveeno body wash (190205500BCMVA0),9418,85475.7668910157,,62671533
202306,ENGLAND,Other toiletry preparations (190205500),Tena 3 in 1 wash cream (190205500BCPAA0),47,950.07366788408,,62671533
202306,ENGLAND,Other toiletry preparations (190205500),Nilaqua Towel-Off skin cleanser body wash (190205500BCQJA0),1,3.07044766732725,,62671533
