Year Month,Country,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202308,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),220566,10148946.5020432,,,62735715
202308,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),1434,64493.4387698597,,,62735715
202308,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),10103,455626.721238912,,,62735715
202308,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),121631,5781693.02806447,,,62735715
202309,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),217889,10025193.8004515,,,62911980
202309,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),1492,67345.7957478763,,,62911980
202309,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),9956,449863.831694343,,,62911980
202309,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),118431,5633338.03503963,,,62911980
202310,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),224673,10348426.0416072,,,63044778
202310,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),1625,73048.6343794226,,,63044778
202310,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),11174,505381.978480012,,,63044778
202310,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),121306,5776933.11020897,,,63044778
202311,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),229775,10625021.7577445,,,63145164
202311,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),1701,77034.858413163,,,63145164
202311,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),11977,543347.151288498,,,63145164
202311,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),122611,5866656.74990479,,,63145164
202312,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),234845,10882982.1255824,,,63205534
202312,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),1328,59431.4422091943,,,63205534
202312,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),13089,591150.605737232,,,63205534
202312,ENGLAND,Fluticasone/umeclidinium/vilanterol (0302000Z0),122800,5891235.17034272,,,63205534
202401,ENGLAND,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),242697,11265622.5831287,,,63271011
202401,ENGLAND,Mometasone/glycopyrronium/indacaterol (0302000W0),1751,79932.0065667026,,,63271011
202401,ENGLAND,Formoterol/glycopyrronium/budesonide (0302000Y0),14002,635772.468898746,,,63271011
