Year Month,ICB Code,Commissioner / Provider Code,PCN,PCN Code,Practice,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202310,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),145,6629.50571731061,,,13090
202310,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,Mometasone/glycopyrronium/indacaterol (0302000W0),2,83.3921926705738,,,13090
202310,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,Fluticasone/umeclidinium/vilanterol (0302000Z0),39,1709.51514974676,,,13090
202310,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),116,5378.63522725201,,,27117
202310,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,Mometasone/glycopyrronium/indacaterol (0302000W0),1,41.6960963352869,,,27117
202310,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,Formoterol/glycopyrronium/budesonide (0302000Y0),3,125.088289005861,,,27117
202310,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,Fluticasone/umeclidinium/vilanterol (0302000Z0),99,4711.48528588742,,,27117
202310,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),9,458.632259688156,,,8114
202310,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,Formoterol/glycopyrronium/budesonide (0302000Y0),1,41.6960963352869,,,8114
202310,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,Fluticasone/umeclidinium/vilanterol (0302000Z0),29,1334.23788272918,,,8114
202310,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),19,833.909526705738,,,5983
202310,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,Formoterol/glycopyrronium/budesonide (0302000Y0),4,166.784385341148,,,5983
202310,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,Fluticasone/umeclidinium/vilanterol (0302000Z0),23,1084.06130471746,,,5983
202310,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),31,1334.26268272918,,,10352
202310,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,Formoterol/glycopyrronium/budesonide (0302000Y0),2,83.3921926705738,,,10352
202310,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,Fluticasone/umeclidinium/vilanterol (0302000Z0),40,1834.57863875262,,,10352
202310,QHM,00L00,DUMMY,-,RIVERSDALE SURGERY,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),6,250.176578011721,,,5973
