Year Month,Country,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202307,ENGLAND,Dicycloverine hydrochloride (0102000J0),2013,408319.687470366,73949.666562969,27782.125,62735715
202308,ENGLAND,Dicycloverine hydrochloride (0102000J0),1952,392591.817283917,71475.999899667,26839.5,62735715
202309,ENGLAND,Dicycloverine hydrochloride (0102000J0),1944,376829.530184254,68901.999904701,25862.25,62911980
202310,ENGLAND,Dicycloverine hydrochloride (0102000J0),1908,384351.03597659,69860.666567799,26215.75,63044778
202311,ENGLAND,Dicycloverine hydrochloride (0102000J0),1885,371924.076401388,67777.666574127,25458.625,63145164
202312,ENGLAND,Dicycloverine hydrochloride (0102000J0),1896,364991.604194077,69223.333246941,25970.75,63205534
202401,ENGLAND,Dicycloverine hydrochloride (0102000J0),1940,387638.520700367,70803.999903519,26608.5,63271011
202402,ENGLAND,Dicycloverine hydrochloride (0102000J0),1866,369841.563959291,65263.333241943,24625.25,63310645
202403,ENGLAND,Dicycloverine hydrochloride (0102000J0),1819,358416.461334685,65769.999914337,24798.75,63331379
202404,ENGLAND,Dicycloverine hydrochloride (0102000J0),1835,331886.087348615,65962.666580484,24793,63378182
202405,ENGLAND,Dicycloverine hydrochloride (0102000J0),1885,346878.313175524,68383.333243125,25658.75,63425860
202406,ENGLAND,Dicycloverine hydrochloride (0102000J0),1747,320226.6820468,63277.333249641,23751.5,63461680
202407,ENGLAND,Dicycloverine hydrochloride (0102000J0),1866,277098.841514406,67693.333241241,25406,63480506
202408,ENGLAND,Dicycloverine hydrochloride (0102000J0),1760,249534.79404303,61545.333252459,23121.5,63531644
202409,ENGLAND,Dicycloverine hydrochloride (0102000J0),1711,244945.877072958,61312.666587597,22998.25,63623320
202410,ENGLAND,Dicycloverine hydrochloride (0102000J0),1846,185444.240014702,64917.33324786,24466,63722003
202411,ENGLAND,Dicycloverine hydrochloride (0102000J0),1771,167471.002536918,62231.999921241,23356.5,63766922
202412,ENGLAND,Dicycloverine hydrochloride (0102000J0),1795,179906.362273487,64136.999916207,24159.375,63778023
202501,ENGLAND,Dicycloverine hydrochloride (0102000J0),1787,115677.458669758,63006.33325155,23657.375,63811119
202502,ENGLAND,Dicycloverine hydrochloride (0102000J0),1573,103210.338754637,55493.666593716,20810.125,63814878
202503,ENGLAND,Dicycloverine hydrochloride (0102000J0),1644,105698.763338005,57533.999925807,21656.25,63824983
202504,ENGLAND,Dicycloverine hydrochloride (0102000J0),1693,85537.7733860768,59713.333254783,22416.5,63829070
202505,ENGLAND,Dicycloverine hydrochloride (0102000J0),1706,84411.2466449091,60960.333254559,22881.125,63849271
202506,ENGLAND,Dicycloverine hydrochloride (0102000J0),1662,84139.402273207,58427.666589999,21982.375,63859394
