Year Month,ICB Code,Commissioner / Provider Code,PCN,PCN Code,Practice,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202306,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,Dicycloverine hydrochloride (0102000J0),4,907.385356884139,73.999999638,27.75,13052
202306,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,,,,,,26961
202306,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,,,,,,7858
202306,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,,,,,,5997
202306,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,Dicycloverine hydrochloride (0102000J0),1,167.89100909573,27.999999972,10.5,10163
202306,QHM,00L00,DUMMY,-,RIVERSDALE SURGERY,Dicycloverine hydrochloride (0102000J0),1,213.219483366056,55.999999944,21,5951
202306,QHM,00L00,DUMMY,-,THE ADDERLANE SURGERY,,,,,,2016
202306,QHM,00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,,,,,,11915
202306,QHM,00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,,,,,,5115
202306,QHM,00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,,,,,,4083
202306,QHM,00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,,,,,,5371
202306,QHM,00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,,,,,,4524
202306,QHM,00L00,NORTHUMBRIA PCN,U09980,PONTELAND MEDICAL GROUP,,,,,,10799
202306,QHM,00L00,NORTHUMBRIA PCN,U09980,THE ROTHBURY PRACTICE,Dicycloverine hydrochloride (0102000J0),1,213.219483366056,55.999999944,21,6076
202306,QHM,00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,Dicycloverine hydrochloride (0102000J0),7,1665.3207814551,379.99999962,142.5,51664
