Year Month,ICB Code,Commissioner / Provider Code,PCN,PCN Code,Practice,BNF Chemical Substance plus Code,BNF Presentation plus Code,Items,Actual Cost,ADQ Usage,List Size,,,,,,
202304,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,13003,,,,,,
202304,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,136.3152426,,26926,,,,,,
202304,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,,,,,,7735,,,,,,
202304,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,90.97782401,,6003,,,,,,
202304,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,,,,,,10049,,,,,,
202304,QHM,00L00,DUMMY,-,RIVERSDALE SURGERY,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,136.3276426,,5955,,,,,,
202304,QHM,00L00,DUMMY,-,THE ADDERLANE SURGERY,,,,,,2013,,,,,,
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,,,,,,11916,,,,,,
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),1,68.1638213,,5094,,,,,,
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,,,,,,4078,,,,,,
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,,,,,,5376,,,,,,
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,,,,,,4527,,,,,,
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,PONTELAND MEDICAL GROUP,,,,,,10788,,,,,,
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,THE ROTHBURY PRACTICE,,,,,,6070,,,,,,
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),2,79.63792924,,51702,,,,,,
