Year Month,Country,BNF Chemical Substance plus Code,BNF Presentation plus Code,Items,Actual Cost,ADQ Usage,List Size
202312,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),8777,638586.217514949,,63205534
202312,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),946,75457.0145875671,,63205534
202312,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),8093,522122.559114202,,63205534
202401,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),8917,651031.931267024,,63271011
202401,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),936,73398.5210827983,,63271011
202401,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),8120,523545.119853387,,63271011
202402,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),8236,600003.852511468,,63310645
202402,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),919,72223.6404556006,,63310645
202402,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),7751,497945.960634621,,63310645
202403,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),8425,612238.066457713,,63331379
202403,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),918,72699.9129085572,,63331379
202403,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),8026,517039.933901992,,63331379
202404,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),8840,647119.639184814,,63378182
202404,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),917,71555.8263177552,,63378182
202404,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),8440,544999.314264181,,63378182
202405,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),9112,659801.6087926,,63425860
202405,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),921,73945.3702404916,,63425860
202405,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),8507,551540.956512956,,63425860
202406,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),8488,620302.242052792,,63461680
202406,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),868,69155.5144773803,,63461680
202406,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),8307,533761.082909965,,63461680
202407,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),9236,669630.363077631,,63480506
202407,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),929,74223.2070119439,,63480506
202407,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),8770,560746.401325159,,63480506
202408,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),8955,658454.013057896,,63531644
202408,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),901,71593.1704654643,,63531644
202408,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),8527,552783.319126154,,63531644
202409,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),8854,645916.142851797,,63623320
202409,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),870,68162.8288973644,,63623320
202409,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),8284,535283.422898314,,63623320
202410,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),9489,697430.840173143,,63722003
202410,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),932,75373.2277809255,,63722003
202410,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),7851,508022.278089791,,63722003
202411,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),10342,759864.216802636,,63766922
202411,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),1306,104132.921800744,,63766922
202411,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),5085,321024.077972184,,63766922
202412,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),12004,892051.513659362,,63778023
202412,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),1632,127700.910731432,,63778023
202412,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),4546,287443.57894651,,63778023
202501,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),13107,966967.179240757,,63811119
202501,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),1694,135283.86339105,,63811119
202501,ENGLAND,Lidocaine hydrochloride (1502010J0),Ralvo 700mg medicated plasters (1502010J0BWAAEL),3578,228647.109368283,,63811119
202502,ENGLAND,Lidocaine hydrochloride (1502010J0),Lidocaine 700mg medicated plasters (1502010J0AAELEL),13030,963328.936301059,,63814878
202502,ENGLAND,Lidocaine hydrochloride (1502010J0),Versatis 700mg medicated plasters (1502010J0BSAAEL),1546,120037.279687304,,63814878
