Year Month,Country,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,List Size
202309,ENGLAND,Tramadol hydrochloride (040702040),449431,1729593.76842356,11341430.4164661,62911980
202309,ENGLAND,Hydromorphone hydrochloride (040702050),446,11435.5149602698,7970.366653252,62911980
202309,ENGLAND,Fentanyl (0407020A0),61051,2235170.54887831,281529,62911980
202309,ENGLAND,Oxycodone hydrochloride (0407020AD),149746,2466935.55903296,1673104.64141952,62911980
202309,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),2275,135183.305339984,,62911980
202309,ENGLAND,Tapentadol (0407020AG),13316,548635.523174337,,62911980
202309,ENGLAND,Buprenorphine (0407020B0),214164,3651857.2770837,2818498.93888037,62911980
202309,ENGLAND,Codeine phosphate (0407020C0),443302,1202540.73066589,10113683.539497,62911980
202309,ENGLAND,Dihydrocodeine tartrate (0407020G0),116639,771973.52929981,2790900.83332273,62911980
202309,ENGLAND,Dipipanone hydrochloride (0407020H0),64,37939.1870763349,1150.75,62911980
202309,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),668,42409.0416769723,9938.166663862,62911980
202309,ENGLAND,Meptazinol hydrochloride (0407020L0),4017,61216.0915042921,110081.666556585,62911980
202309,ENGLAND,Methadone hydrochloride (0407020M0),2488,89005.5160125787,,62911980
202309,ENGLAND,Morphine hydrochloride (0407020P0),1,1.44311123315302,2,62911980
202309,ENGLAND,Morphine sulfate (0407020Q0),417839,2088059.17617355,3222806.13494029,62911980
202309,ENGLAND,Pentazocine hydrochloride (0407020T0),82,8645.96894331146,3473,62911980
202309,ENGLAND,Pethidine hydrochloride (0407020V0),163,7273.75805484347,405.25,62911980
202309,ENGLAND,Morphine (Opium Tincture) (0407020W0),2,135.042761880929,,62911980
202310,ENGLAND,Tramadol hydrochloride (040702040),453581,1614631.85850149,11430687.9998007,63044778
202310,ENGLAND,Hydromorphone hydrochloride (040702050),432,11635.3048539318,8097.033320671,63044778
202310,ENGLAND,Fentanyl (0407020A0),60530,2234165.79692066,281673,63044778
202310,ENGLAND,Oxycodone hydrochloride (0407020AD),152713,2498907.47311699,1678585.68011709,63044778
202310,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),2269,132215.248196957,,63044778
202310,ENGLAND,Tapentadol (0407020AG),13536,560524.774222217,,63044778
202310,ENGLAND,Buprenorphine (0407020B0),220263,3810554.93194495,2894476.36310892,63044778
202310,ENGLAND,Codeine phosphate (0407020C0),450367,1203178.51013039,10270223.2614813,63044778
202310,ENGLAND,Dihydrocodeine tartrate (0407020G0),118527,783018.590807492,2826971.24998897,63044778
202310,ENGLAND,Dipipanone hydrochloride (0407020H0),62,39778.5118404318,1204.5,63044778
202310,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),682,48394.8476086493,11826.999996922,63044778
202310,ENGLAND,Meptazinol hydrochloride (0407020L0),4015,60790.0105353385,109125.666557541,63044778
202310,ENGLAND,Methadone hydrochloride (0407020M0),2361,86265.4395759821,,63044778
202310,ENGLAND,Morphine hydrochloride (0407020P0),1,1.02404925937325,2,63044778
202310,ENGLAND,Morphine sulfate (0407020Q0),424937,2269384.72464435,3250659.67493612,63044778
202310,ENGLAND,Pentazocine hydrochloride (0407020T0),86,9208.09089317384,3640,63044778
202310,ENGLAND,Pethidine hydrochloride (0407020V0),142,10393.8101022744,416,63044778
202311,ENGLAND,Tramadol hydrochloride (040702040),452243,1626966.21928403,11380879.0831332,63145164
202311,ENGLAND,Hydromorphone hydrochloride (040702050),431,11097.6481832345,7666.908320708,63145164
202311,ENGLAND,Fentanyl (0407020A0),60472,2180580.07467086,280866,63145164
202311,ENGLAND,Oxycodone hydrochloride (0407020AD),153141,2491791.2184363,1682567.27449855,63145164
202311,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),2174,127708.002292754,,63145164
202311,ENGLAND,Tapentadol (0407020AG),13554,559310.685321201,,63145164
202311,ENGLAND,Buprenorphine (0407020B0),220264,3780272.53271388,2895909.54492371,63145164
202311,ENGLAND,Codeine phosphate (0407020C0),452650,1211194.53861517,10295763.650295,63145164
202311,ENGLAND,Dihydrocodeine tartrate (0407020G0),118594,787216.64702265,2819673.24999158,63145164
202311,ENGLAND,Dipipanone hydrochloride (0407020H0),65,46176.7658228838,1394,63145164
202311,ENGLAND,Diamorphine hydrochloride (Systemic) (0407020K0),749,48146.1862284992,11995.333329448,63145164
202311,ENGLAND,Meptazinol hydrochloride (0407020L0),4046,62623.1305021505,112097.333221236,63145164
202311,ENGLAND,Methadone hydrochloride (0407020M0),2301,84757.9951361135,,63145164
202311,ENGLAND,Morphine sulfate (0407020Q0),424587,2296222.78299965,3243510.9316025,63145164
202311,ENGLAND,Pentazocine hydrochloride (0407020T0),82,9080.68275475909,3536,63145164
202311,ENGLAND,Pethidine hydrochloride (0407020V0),165,9932.70536103591,449.5,63145164
202312,ENGLAND,Tramadol hydrochloride (040702040),449863,1634988.5567498,11410700.0831413,63205534
202312,ENGLAND,Hydromorphone hydrochloride (040702050),429,11551.4144633933,7963.849987673,63205534
202312,ENGLAND,Fentanyl (0407020A0),60247,2207350.18045385,283437,63205534
202312,ENGLAND,Oxycodone hydrochloride (0407020AD),154857,2557745.88843229,1706328.57423899,63205534
202312,ENGLAND,Oxycodone hydrochloride/naloxone hydrochloride (0407020AF),2167,128681.565813364,,63205534
202312,ENGLAND,Tapentadol (0407020AG),13702,562568.472779947,,63205534
202312,ENGLAND,Buprenorphine (0407020B0),218498,3747986.81604652,2879748.60552568,63205534
202312,ENGLAND,Codeine phosphate (0407020C0),446165,1205681.2531755,10255795.8726251,63205534
