Year Month,Country,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202312,ENGLAND,Esomeprazole (0103050E0),232051,1201231.11697578,13677724.5,9118780.32801551,63205534
202312,ENGLAND,Lansoprazole (0103050L0),2941857,4162613.4567118,114439302.3,76292868.1999779,63205534
202312,ENGLAND,Omeprazole (0103050P0),2985736,12044008.7160684,114043605.35,114043605.35,63205534
202312,ENGLAND,Pantoprazole (0103050R0),152736,486085.598443464,5752133.99698406,4314250.5,63205534
202312,ENGLAND,Rabeprazole sodium (0103050T0),22328,203348.807377779,1058449.33293331,793837,63205534
202401,ENGLAND,Esomeprazole (0103050E0),237368,1266075.85702099,13922924,9282307.99459611,63271011
202401,ENGLAND,Lansoprazole (0103050L0),3032173,4234243.41149389,117385871.45,78257247.6333102,63271011
202401,ENGLAND,Omeprazole (0103050P0),3067612,10807074.5370123,116416480.9,116416490.9,63271011
202401,ENGLAND,Pantoprazole (0103050R0),157688,575929.389143455,5914607.99691692,4436473,63271011
202401,ENGLAND,Rabeprazole sodium (0103050T0),22730,169897.068869904,1070008.66626494,802506.5,63271011
202402,ENGLAND,Esomeprazole (0103050E0),222687,1030598.49517837,12999182.5,8666308.32827579,63310645
202402,ENGLAND,Lansoprazole (0103050L0),2851543,3970019.4625034,110001710.425,73334473.6166444,63310645
202402,ENGLAND,Omeprazole (0103050P0),2872135,10219748.6620613,108726813.621,108726813.621,63310645
202402,ENGLAND,Pantoprazole (0103050R0),147435,533166.605162003,5481217.99712889,4111121.5,63310645
202402,ENGLAND,Rabeprazole sodium (0103050T0),21251,157079.509532443,990874.666291715,743156,63310645
202403,ENGLAND,Esomeprazole (0103050E0),224706,1179424.78972943,13130627,8753885.99489441,63331379
202403,ENGLAND,Lansoprazole (0103050L0),2900299,4028245.99570186,111972858.05,74648572.0333124,63331379
202403,ENGLAND,Omeprazole (0103050P0),2923151,10411928.8429233,110773313.3095,110773373.309501,63331379
202403,ENGLAND,Pantoprazole (0103050R0),150244,543959.245485953,5603456.6637336,4202754.5,63331379
202403,ENGLAND,Rabeprazole sodium (0103050T0),21593,160983.253527619,1017804.66628281,763353.5,63331379
202404,ENGLAND,Esomeprazole (0103050E0),235839,1007005.79140834,13766837.5,9178071.66129065,63378182
202404,ENGLAND,Lansoprazole (0103050L0),3012329,3331913.36162439,116140734.75,77427156.4999783,63378182
202404,ENGLAND,Omeprazole (0103050P0),3018683,8260114.95494275,114508378.271,114508378.271001,63378182
202404,ENGLAND,Pantoprazole (0103050R0),156286,367078.003265382,5820229.33028989,4365574,63378182
202404,ENGLAND,Rabeprazole sodium (0103050T0),22588,138017.663647649,1053549.33293709,790162,63378182
202405,ENGLAND,Esomeprazole (0103050E0),239090,1100640.85674945,14009831.5,9340127.66120434,63425860
202405,ENGLAND,Lansoprazole (0103050L0),3082503,3407881.30833723,118926171.45,79284114.2999781,63425860
202405,ENGLAND,Omeprazole (0103050P0),3081112,8290900.21170445,116958011.037,116958041.037002,63425860
202405,ENGLAND,Pantoprazole (0103050R0),159275,373413.614115603,5946693.99689974,4460238.5,63425860
202405,ENGLAND,Rabeprazole sodium (0103050T0),22964,140121.090317063,1082887.99959419,812166,63425860
202406,ENGLAND,Esomeprazole (0103050E0),224739,996353.89327199,13099743,8733475.3282217,63461680
202406,ENGLAND,Lansoprazole (0103050L0),2879511,3178727.4567405,110712135.05,73808090.0333146,63461680
202406,ENGLAND,Omeprazole (0103050P0),2873040,7793640.15721881,108750333.8555,108750333.8555,63461680
202406,ENGLAND,Pantoprazole (0103050R0),149235,348565.088007939,5559379.99710128,4169625,63461680
202406,ENGLAND,Rabeprazole sodium (0103050T0),21504,130477.40353373,1005935.33295734,754451.5,63461680
202407,ENGLAND,Esomeprazole (0103050E0),244289,1015216.2391909,14227821,9485349.99444516,63480506
202407,ENGLAND,Lansoprazole (0103050L0),3151666,3951184.38936291,121164356.35,80776237.566644,63480506
202407,ENGLAND,Omeprazole (0103050P0),3120060,8923397.480695,118189543.339,118189583.339001,63480506
202407,ENGLAND,Pantoprazole (0103050R0),162576,347841.054471216,6052195.33017781,4539419.5,63480506
202407,ENGLAND,Rabeprazole sodium (0103050T0),23350,114495.327608313,1091721.33292319,818791,63480506
202408,ENGLAND,Esomeprazole (0103050E0),235942,945152.773134316,13725207.5,9150399.66130404,63531644
202408,ENGLAND,Lansoprazole (0103050L0),3045001,3474708.40296663,116725060.9,77816707.2666455,63531644
202408,ENGLAND,Omeprazole (0103050P0),2998938,8123625.71191801,113477287.973,113477287.973001,63531644
202408,ENGLAND,Pantoprazole (0103050R0),156539,319661.705625795,5826888.66363162,4370492.5,63531644
202408,ENGLAND,Rabeprazole sodium (0103050T0),22866,112031.173846727,1073262.66626674,804947,63531644
202409,ENGLAND,Esomeprazole (0103050E0),230639,877318.639266403,13387563,8925277.99476098,63623320
202409,ENGLAND,Lansoprazole (0103050L0),2978446,3394368.36295292,114012875.55,76008583.6999786,63623320
202409,ENGLAND,Omeprazole (0103050P0),2932975,7903889.85489204,110880684.8345,110880684.8345,63623320
202409,ENGLAND,Pantoprazole (0103050R0),152779,310859.810870917,5680757.99703889,4260716.5,63623320
202409,ENGLAND,Rabeprazole sodium (0103050T0),22243,107937.922828596,1033421.33294746,775066,63623320
202410,ENGLAND,Esomeprazole (0103050E0),244538,894086.238392658,14149971.5,9433467.66110572,63722003
202410,ENGLAND,Lansoprazole (0103050L0),3161171,3468254.91062275,120788695.575,80525797.0499783,63722003
202410,ENGLAND,Omeprazole (0103050P0),3107907,7870469.93088352,117274500.0035,117274560.0035,63722003
202410,ENGLAND,Pantoprazole (0103050R0),162995,286360.811116526,6036023.33017978,4527223.5,63722003
202410,ENGLAND,Rabeprazole sodium (0103050T0),23479,104374.240819617,1092259.99959113,819195,63722003
202411,ENGLAND,Esomeprazole (0103050E0),234151,860646.585797567,13592254,9061711.99465842,63766922
202411,ENGLAND,Lansoprazole (0103050L0),3031717,3320274.84580386,115761009.8,77174006.5333125,63766922
202411,ENGLAND,Omeprazole (0103050P0),2965335,7562956.64684243,112006258.0175,112006298.0175,63766922
202411,ENGLAND,Pantoprazole (0103050R0),156046,274485.264513327,5777147.99698671,4333208,63766922
202411,ENGLAND,Rabeprazole sodium (0103050T0),22487,99996.9859910211,1051513.99960607,788635.5,63766922
202412,ENGLAND,Esomeprazole (0103050E0),243070,887509.258872388,14094824,9396609.32777845,63778023
202412,ENGLAND,Lansoprazole (0103050L0),3126320,3431076.03511513,119653876.6,79769251.0666447,63778023
202412,ENGLAND,Omeprazole (0103050P0),3042837,7746431.89044783,115376768.5465,115376768.546503,63778023
202412,ENGLAND,Pantoprazole (0103050R0),161316,283940.529274589,5982109.99686934,4486802.5,63778023
202412,ENGLAND,Rabeprazole sodium (0103050T0),23309,103635.869871742,1095129.33292469,821347,63778023
202501,ENGLAND,Esomeprazole (0103050E0),246709,834885.423977682,14266796,9511330.66104941,63811119
202501,ENGLAND,Lansoprazole (0103050L0),3193701,3389740.05650376,121799359.55,81199573.0333115,63811119
202501,ENGLAND,Omeprazole (0103050P0),3108773,7852003.45955995,117343878.619,117343878.619,63811119
202501,ENGLAND,Pantoprazole (0103050R0),163903,216634.688054791,6072105.33016536,4554249,63811119
202501,ENGLAND,Rabeprazole sodium (0103050T0),23579,72816.5244311158,1091951.99958966,818964,63811119
202502,ENGLAND,Esomeprazole (0103050E0),220515,745559.726540345,12688284,8458945.32833204,63814878
202502,ENGLAND,Lansoprazole (0103050L0),2861299,3021336.36332377,108508017.25,72338678.1666471,63814878
202502,ENGLAND,Omeprazole (0103050P0),2768289,6980585.38349721,104107731.789,104107741.789,63814878
202502,ENGLAND,Pantoprazole (0103050R0),146531,193284.792600149,5395679.33051472,4047032.5,63814878
202502,ENGLAND,Rabeprazole sodium (0103050T0),21150,65447.7123215396,988718.666300418,741539,63814878
202503,ENGLAND,Esomeprazole (0103050E0),234846,789029.146067164,13534297.5,9022987.66131592,63824983
202503,ENGLAND,Lansoprazole (0103050L0),3040708,3223203.05792912,115807034.45,77204689.6333129,63824983
202503,ENGLAND,Omeprazole (0103050P0),2943045,7491233.21547415,111085858.83,111085858.83,63824983
202503,ENGLAND,Pantoprazole (0103050R0),156130,207116.715077555,5787217.99698143,4340717.5,63824983
202503,ENGLAND,Rabeprazole sodium (0103050T0),22248,68860.287451551,1036686.66627808,777515,63824983
202504,ENGLAND,Esomeprazole (0103050E0),235999,890084.391587993,13528886.5,9019430.99465673,63829070
202504,ENGLAND,Lansoprazole (0103050L0),3070769,3231411.24139036,116321816.15,77547877.4333137,63829070
202504,ENGLAND,Omeprazole (0103050P0),2945539,7561090.17963485,110822907.8075,110822907.8075,63829070
202504,ENGLAND,Pantoprazole (0103050R0),157623,178469.732248653,5792732.66364756,4344818.5,63829070
202504,ENGLAND,Rabeprazole sodium (0103050T0),22515,61807.088404258,1051315.33294224,788486.5,63829070
202505,ENGLAND,Esomeprazole (0103050E0),245462,820247.821722795,14165055.5,9443410.32773787,63849271
202505,ENGLAND,Lansoprazole (0103050L0),3173721,3355195.03239742,120751800.75,80501200.4999792,63849271
202505,ENGLAND,Omeprazole (0103050P0),3042526,7790594.01148324,114952615.238,114952675.238,63849271
202505,ENGLAND,Pantoprazole (0103050R0),163238,185887.496037273,6038223.99685241,4528857,63849271
202505,ENGLAND,Rabeprazole sodium (0103050T0),23253,63571.2127816447,1089560.66626214,817170.5,63849271
202506,ENGLAND,Esomeprazole (0103050E0),235697,1115191.26867279,13486928,8991365.32799872,63859394
202506,ENGLAND,Lansoprazole (0103050L0),3070031,3222630.43202318,115749606.5,77166404.3333117,63859394
202506,ENGLAND,Omeprazole (0103050P0),2933688,7563254.07403315,110154115.3845,110154115.384501,63859394
202506,ENGLAND,Pantoprazole (0103050R0),157320,177984.372059099,5780131.99698785,4335360,63859394
202506,ENGLAND,Rabeprazole sodium (0103050T0),22610,61203.4099326537,1047945.99961096,785959.5,63859394
202507,ENGLAND,Esomeprazole (0103050E0),253001,1248611.93318041,14509942.5,9673324.32758868,63879648
202507,ENGLAND,Lansoprazole (0103050L0),3288398,3194902.33079046,124352408.35,82901605.5666449,63879648
202507,ENGLAND,Omeprazole (0103050P0),3120053,7747243.52365222,117363703.088,117363763.088001,63879648
202507,ENGLAND,Pantoprazole (0103050R0),168614,163378.449552033,6190655.33009685,4643211.5,63879648
202507,ENGLAND,Rabeprazole sodium (0103050T0),24105,60875.6550117954,1125044.66624966,843783.5,63879648
202508,ENGLAND,Esomeprazole (0103050E0),231632,1252458.94847254,13190675,8793797.99477681,63890633
202508,ENGLAND,Lansoprazole (0103050L0),3034702,2938669.79929951,114250776.5,76167184.3333136,63890633
202508,ENGLAND,Omeprazole (0103050P0),2867504,7184797.18210507,107662761.94,107662821.940001,63890633
202508,ENGLAND,Pantoprazole (0103050R0),155601,151415.090782163,5707931.99701631,4281337,63890633
202508,ENGLAND,Rabeprazole sodium (0103050T0),22408,55811.6842054178,1039118.66628212,779339,63890633
202509,ENGLAND,Esomeprazole (0103050E0),247196,1616835.18515905,14137515,9425123.3277091,63970723
202509,ENGLAND,Lansoprazole (0103050L0),3195720,3095322.18781456,120351396.55,80234264.3666451,63970723
202509,ENGLAND,Omeprazole (0103050P0),3018179,7747000.89351818,113230713.376,113230773.376,63970723
202509,ENGLAND,Pantoprazole (0103050R0),163580,158893.610657711,6009197.99686694,4507238.5,63970723
202509,ENGLAND,Rabeprazole sodium (0103050T0),23459,58216.4757338755,1088426.66626317,816320,63970723
202510,ENGLAND,Esomeprazole (0103050E0),253381,1365801.84990509,14442255.5,9628240.9942543,64005675
202510,ENGLAND,Lansoprazole (0103050L0),3283734,3073727.29763927,123321825.05,82214550.0333131,64005675
202510,ENGLAND,Omeprazole (0103050P0),3073033,7821979.39037931,115067298.025,115067298.025,64005675
202510,ENGLAND,Pantoprazole (0103050R0),168891,150781.598580144,6178023.99677906,4633874,64005675
202510,ENGLAND,Rabeprazole sodium (0103050T0),24164,51129.2722688538,1125917.33291711,844438,64005675
202511,ENGLAND,Esomeprazole (0103050E0),231349,1009634.3547657,13166872,8778114.66142195,63996561
202511,ENGLAND,Lansoprazole (0103050L0),3021675,2897083.44593194,113145483,75430321.999978,63996561
202511,ENGLAND,Omeprazole (0103050P0),2809723,7215780.75638908,105087501.9345,105087661.9345,63996561
202511,ENGLAND,Pantoprazole (0103050R0),155429,138320.90873361,5683055.33036749,4262523.5,63996561
202511,ENGLAND,Rabeprazole sodium (0103050T0),22111,47390.2197693059,1025577.33295416,769183,63996561
