Year Month,Country,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202404,ENGLAND,Promethazine hydrochloride (0304010W0),220945,1730455.19345768,6307795.64,6308138.64,63378182
202405,ENGLAND,Promethazine hydrochloride (0304010W0),224716,1743608.51296626,6402518.4,6402937.4,63425860
202406,ENGLAND,Promethazine hydrochloride (0304010W0),209843,1622801.57611608,5994760.56,5995058.56,63461680
202407,ENGLAND,Promethazine hydrochloride (0304010W0),228428,1354915.11662656,6523860.92,6524268.92,63480506
202408,ENGLAND,Promethazine hydrochloride (0304010W0),220971,1323932.33398286,6273842.08,6274413.08,63531644
202409,ENGLAND,Promethazine hydrochloride (0304010W0),220900,1316594.15566743,6267953.72,6268471.72,63623320
202410,ENGLAND,Promethazine hydrochloride (0304010W0),238736,1115290.69876433,6773870.88,6774254.88,63722003
202411,ENGLAND,Promethazine hydrochloride (0304010W0),228424,1067746.16560458,6500405,6500725,63766922
202412,ENGLAND,Promethazine hydrochloride (0304010W0),231544,1086096.77507665,6607022.32,6607563.32,63778023
202501,ENGLAND,Promethazine hydrochloride (0304010W0),247701,728494.196162776,7061212.84,7061605.84,63811119
202502,ENGLAND,Promethazine hydrochloride (0304010W0),221548,640204.332278095,6287791.2,6288111.2,63814878
202503,ENGLAND,Promethazine hydrochloride (0304010W0),232415,673129.162124316,6624157.96,6624577.96,63824983
202504,ENGLAND,Promethazine hydrochloride (0304010W0),228685,569487.095530684,6530339.56,6530807.56,63829070
202505,ENGLAND,Promethazine hydrochloride (0304010W0),235565,589342.166194715,6729408.6,6729915.6,63849271
202506,ENGLAND,Promethazine hydrochloride (0304010W0),231396,576514.727915525,6598702.52,6599049.52,63859394
202507,ENGLAND,Promethazine hydrochloride (0304010W0),244698,535290.401274741,6963697.12,6964273.12,63879648
202508,ENGLAND,Promethazine hydrochloride (0304010W0),227556,493813.637475369,6453822.52,6454387.52,63890633
202509,ENGLAND,Promethazine hydrochloride (0304010W0),242893,523758.913357889,6892839.2,6893329.2,63970723
202510,ENGLAND,Promethazine hydrochloride (0304010W0),252632,499157.501339005,7155036,7155518,64005675
202511,ENGLAND,Promethazine hydrochloride (0304010W0),233800,464045.121601112,6616025.88,6616404.88,63996561
202512,ENGLAND,Promethazine hydrochloride (0304010W0),254767,501615.291736438,7250669.52,7251339.52,63957289
202601,ENGLAND,Promethazine hydrochloride (0304010W0),254903,441583.361027792,7219722.2,7220168.2,63850356
202602,ENGLAND,Promethazine hydrochloride (0304010W0),236401,406514.428359849,6659148.2,6659661.2,63769637
202603,ENGLAND,Promethazine hydrochloride (0304010W0),252124,465825.636390622,7129298.48,7129694.48,63731682
