Year Month,ICB Code,Commissioner / Provider Code,PCN,PCN Code,Practice,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202404,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,Promethazine hydrochloride (0304010W0),19,90.6758974442941,318.4,318.4,13350
202404,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,Promethazine hydrochloride (0304010W0),45,351.521347654248,1130.8,1130.8,27258
202404,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,Promethazine hydrochloride (0304010W0),5,52.0488693356832,198.4,198.4,8425
202404,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,Promethazine hydrochloride (0304010W0),8,78.5476016890055,250.8,250.8,5985
202404,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,Promethazine hydrochloride (0304010W0),11,145.949383438319,458,458,10720
202404,QHM,00L00,DUMMY,-,NDUC NORTHUMBERLAND OOH,Promethazine hydrochloride (0304010W0),1,12.4809431038471,22.4,22.4,
202404,QHM,00L00,DUMMY,-,RIVERSDALE SURGERY,Promethazine hydrochloride (0304010W0),15,76.6854364981368,246,246,5946
202404,QHM,00L00,DUMMY,-,THE ADDERLANE SURGERY,,,,,,2092
202404,QHM,00L00,DUMMY,-,THE CRAMLINGTON HUB,Promethazine hydrochloride (0304010W0),1,3.67369761310138,6.4,6.4,
202404,QHM,00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,Promethazine hydrochloride (0304010W0),26,184.376770723147,547.6,547.6,12055
202404,QHM,00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,Promethazine hydrochloride (0304010W0),20,139.730239496907,520.8,520.8,5206
202404,QHM,00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,Promethazine hydrochloride (0304010W0),2,14.1539117208241,25.2,25.2,4162
202404,QHM,00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,Promethazine hydrochloride (0304010W0),3,5.7391682895358,21,21,5307
202404,QHM,00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,,,,,,4518
