Year Month,ICB Code,Commissioner / Provider Code,PCN,PCN Code,Practice,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,List Size
202304,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,Salbutamol (0301011R0),564,1837.46048367094,40466.5,13003
202304,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,Terbutaline sulphate (0301011V0),18,195.546679556088,2500,13003
202304,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,Salbutamol (0301011R0),1102,2992.47139617969,74925,26926
202304,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,Terbutaline sulphate (0301011V0),21,226.835636285062,2900,26926
202304,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,Salbutamol (0301011R0),251,708.7231313821,15871,7735
202304,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,Terbutaline sulphate (0301011V0),3,23.4760175467306,300,7735
202304,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,Salbutamol (0301011R0),225,603.492064957675,15430,6003
202304,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,Terbutaline sulphate (0301011V0),5,46.9396350934611,600,6003
202304,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,Salbutamol (0301011R0),319,922.616050135774,21240,10049
202304,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,Terbutaline sulphate (0301011V0),12,156.40758364487,2000,10049
202304,QHM,00L00,DUMMY,-,NDUC NORTHUMBERLAND OOH,Salbutamol (0301011R0),21,53.0589251484385,1050,
202304,QHM,00L00,DUMMY,-,NORTHUMBERLAND COMMUNITY SERVICE,Salbutamol (0301011R0),1,1.42437696064642,50,
202304,QHM,00L00,DUMMY,-,RIVERSDALE SURGERY,Salbutamol (0301011R0),198,543.844819430788,13750,5955
202304,QHM,00L00,DUMMY,-,RIVERSDALE SURGERY,Terbutaline sulphate (0301011V0),3,23.4760175467306,300,5955
202304,QHM,00L00,DUMMY,-,THE ADDERLANE SURGERY,Salbutamol (0301011R0),83,208.52392095686,4765,2013
202304,QHM,00L00,DUMMY,-,THE ADDERLANE SURGERY,Terbutaline sulphate (0301011V0),1,7.82533918224352,100,2013
202304,QHM,00L00,DUMMY,-,THE CRAMLINGTON HUB,Salbutamol (0301011R0),1,1.42437696064642,50,
202304,QHM,00L00,DUMMY,-,UNIDENTIFIED DOCTORS,Salbutamol (0301011R0),5,8.82567033574545,250,
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,Salbutamol (0301011R0),450,1091.18319278287,28565,11916
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,Terbutaline sulphate (0301011V0),19,236.111057865853,2810,11916
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,Salbutamol (0301011R0),224,591.257812681101,14248,5094
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,Terbutaline sulphate (0301011V0),5,46.9396350934611,600,5094
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,Salbutamol (0301011R0),148,322.043335135395,8780,4078
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,Terbutaline sulphate (0301011V0),7,62.5903134579482,800,4078
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,Salbutamol (0301011R0),128,805.708079088136,7348.666666592,5376
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,Terbutaline sulphate (0301011V0),4,31.3013567289741,400,5376
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,Salbutamol (0301011R0),192,415.093704492287,10180,4527
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,Terbutaline sulphate (0301011V0),2,15.650678364487,200,4527
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,PONTELAND MEDICAL GROUP,Salbutamol (0301011R0),215,974.829742012931,13963,10788
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,PONTELAND MEDICAL GROUP,Terbutaline sulphate (0301011V0),7,54.7773742757047,700,10788
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,THE ROTHBURY PRACTICE,Salbutamol (0301011R0),161,476.561856473262,12810,6070
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,THE ROTHBURY PRACTICE,Terbutaline sulphate (0301011V0),4,46.9272350934611,600,6070
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,Salbutamol (0301011R0),1910,5924.87459301194,116841,51702
202304,QHM,00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,Terbutaline sulphate (0301011V0),73,625.940334579482,8000,51702
202304,QHM,00L00,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,Salbutamol (0301011R0),362,1311.60171661747,23117,12275
202304,QHM,00L00,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,Terbutaline sulphate (0301011V0),13,132.98116609814,1700,12275
202304,QHM,00L00,WANSBECK PCN,U11112,GUIDEPOST MEDICAL GROUP,Salbutamol (0301011R0),378,1292.88084709642,22660,7975
202304,QHM,00L00,WANSBECK PCN,U11112,GUIDEPOST MEDICAL GROUP,Terbutaline sulphate (0301011V0),6,54.7649742757047,700,7975
202304,QHM,00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,Salbutamol (0301011R0),812,2220.31751014037,42538,19036
202304,QHM,00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,Terbutaline sulphate (0301011V0),35,317.413414485384,3430,19036
202304,QHM,00L00,WANSBECK PCN,U11112,THE GABLES MEDICAL GROUP,Salbutamol (0301011R0),224,661.90137472319,12672.5,6320
202304,QHM,00L00,WANSBECK PCN,U11112,THE GABLES MEDICAL GROUP,Terbutaline sulphate (0301011V0),3,23.4760175467306,300,6320
202304,QHM,00L00,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,Salbutamol (0301011R0),572,1823.35224291404,38278,18856
202304,QHM,00L00,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,Terbutaline sulphate (0301011V0),42,391.043759112176,5000,18856
202304,QHM,00L00,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,Salbutamol (0301011R0),168,319.689499187867,9515,4508
202304,QHM,00L00,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,Terbutaline sulphate (0301011V0),8,78.2037918224352,1000,4508
202304,QHM,00L00,WELL UP NORTH PCN,U25545,GAS HOUSE LANE SURGERY,Salbutamol (0301011R0),133,343.438740790137,8080,6400
202304,QHM,00L00,WELL UP NORTH PCN,U25545,GAS HOUSE LANE SURGERY,Terbutaline sulphate (0301011V0),4,39.0770959112176,500,6400
202304,QHM,00L00,WELL UP NORTH PCN,U25545,GREYSTOKE SURGERY,Salbutamol (0301011R0),198,745.672806185587,13870,10275
202304,QHM,00L00,WELL UP NORTH PCN,U25545,GREYSTOKE SURGERY,Terbutaline sulphate (0301011V0),9,84.1677500800361,1013.999999986,10275
202304,QHM,00L00,WELL UP NORTH PCN,U25545,UNION BRAE & NORHAM PRAC,Salbutamol (0301011R0),249,749.306293564317,15000,7292
202304,QHM,00L00,WELL UP NORTH PCN,U25545,UNION BRAE & NORHAM PRAC,Terbutaline sulphate (0301011V0),6,54.7401742757047,700,7292
202304,QHM,00L00,WELL UP NORTH PCN,U25545,WELL CLOSE MEDICAL GROUP,Salbutamol (0301011R0),341,1202.45087516403,19275,9140
202304,QHM,00L00,WELL UP NORTH PCN,U25545,WELL CLOSE MEDICAL GROUP,Terbutaline sulphate (0301011V0),14,109.554748551409,1400,9140
202304,QHM,00L00,WELL UP NORTH PCN,U25545,WOOLER HEALTH,Salbutamol (0301011R0),171,370.746768297233,10850,4785
202304,QHM,00L00,WELL UP NORTH PCN,U25545,WOOLER HEALTH,Terbutaline sulphate (0301011V0),7,62.5655134579482,800,4785
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,Salbutamol (0301011R0),71,177.132777407624,4110,3456
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,BELLINGHAM PRACTICE,Terbutaline sulphate (0301011V0),1,7.82533918224352,100,3456
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,Salbutamol (0301011R0),125,403.745649267903,7231.25,5347
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,BRANCH END SURGERY,Terbutaline sulphate (0301011V0),5,62.5283134579482,800,5347
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,Salbutamol (0301011R0),250,696.173597723164,17820,10232
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,BURN BRAE MEDICAL GROUP,Terbutaline sulphate (0301011V0),13,140.794105280383,1800,10232
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,CORBRIDGE HEALTH CENTRE,Salbutamol (0301011R0),120,297.377005882832,8070,7184
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,CORBRIDGE HEALTH CENTRE,Terbutaline sulphate (0301011V0),12,109.443148551409,1400,7184
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,HALTWHISTLE MEDICAL GROUP,Salbutamol (0301011R0),143,607.897256486557,9980,5587
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,HALTWHISTLE MEDICAL GROUP,Terbutaline sulphate (0301011V0),10,101.692209369166,1300,5587
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,HUMSHAUGH & WARK MED GRP,Salbutamol (0301011R0),79,135.252276516224,4151.25,3599
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,PRUDHOE MEDICAL GROUP,Salbutamol (0301011R0),194,478.420686152859,11550,6909
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,SCOTS GAP MEDICAL GROUP,Salbutamol (0301011R0),47,92.1391900923101,3050,2061
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,SCOTS GAP MEDICAL GROUP,Terbutaline sulphate (0301011V0),1,7.81293918224352,100,2061
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,THE SELE MEDICAL PRACTICE,Salbutamol (0301011R0),126,351.666793982149,8000,5766
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,THE SELE MEDICAL PRACTICE,Terbutaline sulphate (0301011V0),1,7.82533918224352,100,5766
202304,QHM,00L00,WEST NORTHUMBERLAND PCN,U05512,WHITE MEDICAL GROUP,Salbutamol (0301011R0),181,440.151859460451,12255,8174
202304,QHM,00N00,DUMMY,-,HAVEN COURT,Salbutamol (0301011R0),2,2.84875392129284,100,
202304,QHM,00N00,DUMMY,-,SOUTH TYNESIDE & SUNDERLAND NHS FT STY,Salbutamol (0301011R0),4,97.6042498238159,138,
202304,QHM,00N00,DUMMY,-,SOUTH TYNESIDE ENHANCED PRIMARY CARE,Salbutamol (0301011R0),22,37.8690398721453,1150,
202304,QHM,00N00,DUMMY,-,SOUTH TYNESIDE ENHANCED PRIMARY CARE,Terbutaline sulphate (0301011V0),1,7.82533918224352,100,
202304,QHM,00N00,DUMMY,-,SOUTH TYNESIDE URGENT CARE HUB WIC,Salbutamol (0301011R0),2,2.81110120234227,100,
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,FARNHAM MEDICAL CTR.,Salbutamol (0301011R0),903,2705.72809132838,60235,17201
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,FARNHAM MEDICAL CTR.,Terbutaline sulphate (0301011V0),10,117.318087733653,1500,17201
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,ST GEORGE & RIVERSIDE MEDICAL PRACTICE,Salbutamol (0301011R0),376,881.464763067986,19970,7204
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,ST GEORGE & RIVERSIDE MEDICAL PRACTICE,Terbutaline sulphate (0301011V0),4,31.3013567289741,400,7204
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,TALBOT MEDICAL CENTRE,Salbutamol (0301011R0),426,1628.89233571073,33683,8017
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,TALBOT MEDICAL CENTRE,Terbutaline sulphate (0301011V0),3,31.2889567289741,400,8017
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,TRINITY MEDICAL CENTRE,Salbutamol (0301011R0),307,1008.15188031042,18192.5,6451
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,TRINITY MEDICAL CENTRE,Terbutaline sulphate (0301011V0),2,15.650678364487,200,6451
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,WENLOCK ROAD SURGERY,Salbutamol (0301011R0),209,608.442674274166,12750,4542
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,WEST VIEW SURGERY,Salbutamol (0301011R0),79,456.633978380337,4020,2874
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,WAWN STREET SURGERY ( C 01-May-25 ),Salbutamol (0301011R0),278,790.370199707463,19850,7902
202304,QHM,00N00,SOUTH TYNESIDE EAST PCN,U20256,WAWN STREET SURGERY ( C 01-May-25 ),Terbutaline sulphate (0301011V0),6,327.33300675889,800,7902
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,CENTRAL SURGERY,Salbutamol (0301011R0),829,2082.17693933361,47445,19091
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,CENTRAL SURGERY,Terbutaline sulphate (0301011V0),9,86.0539310046787,1100,19091
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,COLLIERY COURT MEDICAL GROUP,Salbutamol (0301011R0),233,639.734330173109,14968,8307
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,DR THORNILEY-WALKER & PARTNERS,Salbutamol (0301011R0),228,597.269500432143,14660,6163
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,DR THORNILEY-WALKER & PARTNERS,Terbutaline sulphate (0301011V0),1,15.638278364487,200,6163
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,IMEARY MEDICAL GROUP,Salbutamol (0301011R0),195,375.7164688557,12050,4038
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,MARSDEN MEDICAL GROUP,Salbutamol (0301011R0),740,2635.32833196254,55068,14357
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,MARSDEN MEDICAL GROUP,Terbutaline sulphate (0301011V0),7,70.4032526401917,900,14357
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,WHITBURN SURGERY,Salbutamol (0301011R0),237,729.918671138153,14180,5394
202304,QHM,00N00,SOUTH TYNESIDE SOUTH PCN,U89118,WHITBURN SURGERY,Terbutaline sulphate (0301011V0),5,39.1266959112176,500,5394
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,ALBERT ROAD SURGERY,Salbutamol (0301011R0),168,629.970528039988,9590,3109
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,EAST WING PRACTICE,Salbutamol (0301011R0),218,738.230238339933,12730,4092
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,ELLISON VIEW SURGERY,Salbutamol (0301011R0),339,955.797221060672,22882,6241
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,ELLISON VIEW SURGERY,Terbutaline sulphate (0301011V0),2,15.650678364487,200,6241
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,MAYFIELD MEDICAL GROUP,Salbutamol (0301011R0),423,1370.02093246476,29118,9220
202304,QHM,00N00,SOUTH TYNESIDE WEST PCN,U37826,MAYFIELD MEDICAL GROUP,Terbutaline sulphate (0301011V0),5,54.7525742757047,700,9220
