Year Month,Country,BNF Chemical Substance plus Code,BNF Presentation,Supplier Name,Items,Actual Cost,ADQ Usage,List Size
202404,ENGLAND,Magnesium carbonate (0101010F0),Magnesium carbonate heavy 500mg capsules,Specials,10,780.504,,63378182
202404,ENGLAND,Magnesium oxide (0101010I0),Magnesium oxide 100mg capsules,Specials,3,1523.8072,,63378182
202404,ENGLAND,Magnesium oxide (0101010I0),Magnesium oxide 160mg tablets,Specials,14,1496.7536,,63378182
202404,ENGLAND,Magnesium oxide (0101010I0),Magnesium oxide 280mg capsules,Specials,1,789.4524,,63378182
202404,ENGLAND,Magnesium oxide (0101010I0),Magnesium oxide 400mg tablets,Specials,10,543.444,,63378182
202404,ENGLAND,Magnesium oxide (0101010I0),Magnesium oxide 500mg capsules,Specials,41,8099.1484,,63378182
202404,ENGLAND,Aluminium and magnesium and oxetacaine (0101010N0),Antacid and Oxetacaine oral suspension,Specials,235,9245.04581458463,,63378182
202404,ENGLAND,Sodium bicarbonate (0101012B0),Sodium bicarbonate 420mg/5ml (1mmol/ml) oral liquid,Specials,5,1241.822,,63378182
202404,ENGLAND,Sodium bicarbonate (0101012B0),Sodium bicarbonate mixture paediatric,Specials,4,1080.0496,,63378182
202404,ENGLAND,Calcium carbonate (0101021C0),Calcium carbonate 120mg/5ml oral suspension,Specials,5,2421.882,,63378182
202404,ENGLAND,Calcium carbonate (0101021C0),Calcium carbonate 250mg dispersible tablets,Specials,4,667.8496,,63378182
202404,ENGLAND,Calcium carbonate (0101021C0),Calcium carbonate 250mg/5ml oral suspension,Specials,2,116.6748,,63378182
202404,ENGLAND,Calcium carbonate (0101021C0),Calcium carbonate 300mg tablets,Specials,7,1644.1068,,63378182
202404,ENGLAND,Calcium carbonate (0101021C0),Calcium carbonate 400mg capsules,Specials,6,1494.9244,,63378182
202404,ENGLAND,Calcium carbonate (0101021C0),Calcium carbonate 500mg/5ml oral suspension,Specials,30,1642.867832921,,63378182
202404,ENGLAND,Calcium carbonate (0101021C0),Calcium carbonate 600mg/5ml oral suspension,Specials,28,1177.02745261108,,63378182
202404,ENGLAND,Atropine sulfate (0102000AC),Atropine 250micrograms/5ml oral liquid,Specials,1,101.0924,2.0833333,63378182
202404,ENGLAND,Atropine sulfate (0102000AC),Atropine 500micrograms/5ml oral solution,Specials,4,829.5596,33.3333332,63378182
202404,ENGLAND,Atropine sulfate (0102000AC),Atropine 500micrograms/5ml oral suspension,Specials,1,837.0024,49.9999998,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 1mg capsules,Specials,1,632.0124,,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 1mg/5ml oral liquid,Specials,190,43497.0219094359,,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 2.5mg/5ml oral solution,Specials,0,0,,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 2.5mg/5ml oral suspension,Specials,7,147.036453210839,,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 200micrograms/5ml oral solution,Specials,46,1101.78451748509,,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 200micrograms/5ml oral suspension,Specials,12,181.90731856929,,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 2mg/5ml oral liquid,Specials,15,6905.706,,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 3mg/5ml oral liquid,Specials,2,655.6248,,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 500micrograms/5ml oral solution,Specials,15,268.292165196735,,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 500micrograms/5ml oral suspension,Specials,11,333.430366525775,,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 5mg/5ml oral solution,Specials,78,2438.76429346421,,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 5mg/5ml oral suspension,Specials,74,3512.5744657676,,63378182
202404,ENGLAND,Glycopyrronium bromide (0102000L0),Glycopyrronium bromide 750micrograms/5ml oral liquid,Specials,4,1261.6096,,63378182
202404,ENGLAND,Hyoscine butylbromide (0102000N0),Hyoscine butylbromide 10mg/5ml oral solution,Specials,93,3002.47731378469,1163.25,63378182
202404,ENGLAND,Hyoscine butylbromide (0102000N0),Hyoscine butylbromide 10mg/5ml oral suspension,Specials,140,5895.86601050331,1373.25,63378182
202404,ENGLAND,Mebeverine hydrochloride (0102000P0),Mebeverine 50mg/5ml oral suspension sugar free,Specials,2,274.2948,,63378182
202404,ENGLAND,Ranitidine hydrochloride (0103010T0),Ranitidine 5mg/5ml oral solution,Specials,2,14.0248,0.9999999,63378182
202404,ENGLAND,Pirenzepine (0103020P0),Pirenzepine 100mg tablets,Specials,2,612.8248,,63378182
202404,ENGLAND,Pirenzepine (0103020P0),Pirenzepine 25mg tablets,Specials,1,42.6324,,63378182
202404,ENGLAND,Sucralfate (0103030S0),Sucralfate 1g/5ml oral suspension,Specials,27,15584.2187103576,749.00002996,63378182
202404,ENGLAND,Esomeprazole (0103050E0),Esomeprazole 40mg/5ml oral suspension,Specials,1,559.1524,84,63378182
202404,ENGLAND,Lansoprazole (0103050L0),Lansoprazole 10mg/5ml oral liquid,Specials,1,298.7624,33.6,63378182
202404,ENGLAND,Lansoprazole (0103050L0),Lansoprazole 15mg/5ml oral solution,Specials,122,2664.61784060086,2914.5,63378182
202404,ENGLAND,Lansoprazole (0103050L0),Lansoprazole 15mg/5ml oral suspension,Specials,191,4708.54819691283,5092.8,63378182
202404,ENGLAND,Lansoprazole (0103050L0),Lansoprazole 30mg/5ml oral solution,Specials,92,2597.60926987882,5097,63378182
202404,ENGLAND,Lansoprazole (0103050L0),Lansoprazole 30mg/5ml oral suspension,Specials,286,5802.78636911265,16761,63378182
202404,ENGLAND,Lansoprazole (0103050L0),Lansoprazole 5mg/5ml oral suspension,Specials,298,4062.64899647153,3266.1,63378182
202404,ENGLAND,Lansoprazole (0103050L0),Lansoprazole 7.5mg/5ml oral liquid,Specials,1,86.2524,10.5,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 10mg/5ml oral solution,Specials,68,21726.9869142906,1357.1,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 10mg/5ml oral suspension,Specials,64,24902.4226076892,1767.7,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 20mg/5ml oral solution,Specials,64,30929.0536,2131,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 20mg/5ml oral suspension,Specials,34,22006.6216,1464,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 25mg/5ml oral liquid,Specials,1,124.8124,10,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 2mg/5ml oral liquid,Specials,1,82.6824,1,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 30mg/5ml oral suspension,Specials,1,358.0124,21,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 3mg/5ml oral liquid,Specials,1,185.4524,4.62,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 40mg/5ml oral solution,Specials,12,1790.0188,620,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 40mg/5ml oral suspension,Specials,182,86372.8394920142,13504,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 4mg/5ml oral liquid,Specials,2,842.4248,10.8,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 50mg/5ml oral liquid,Specials,1,477.9824,70,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 5mg/5ml oral solution,Specials,4,395.6896,13.4,63378182
202404,ENGLAND,Omeprazole (0103050P0),Omeprazole 5mg/5ml oral suspension,Specials,396,115266.690898231,3708.3,63378182
202404,ENGLAND,Loperamide hydrochloride (0104020L0),Loperamide 1mg/5ml oral liquid,Specials,14,5234.9936,87.5,63378182
202404,ENGLAND,Loperamide hydrochloride (0104020L0),Loperamide 25mg/5ml oral solution,Specials,45,2232.676783883,5062.5,63378182
202404,ENGLAND,Loperamide hydrochloride (0104020L0),Loperamide 25mg/5ml oral suspension,Specials,65,2361.07700584606,7437.5,63378182
202404,ENGLAND,Sulfasalazine (0105010E0),Sulfasalazine 250mg/5ml oral suspension,Specials,6,1288.0744,115,63378182
202404,ENGLAND,Hydrocortisone (0105020C0),Hydrocortisone 25mg suppositories,Specials,1,16.0724,,63378182
202404,ENGLAND,Sodium cromoglicate (0105040A0),Sodium cromoglicate 100mg/5ml oral solution,Specials,1,968.5324,42,63378182
202404,ENGLAND,Bisacodyl (0106020C0),Bisacodyl 2.5mg/5ml oral suspension,Specials,95,2662.59325620719,1028.5,63378182
