Year Month,ICB Code,Commissioner / Provider Code,PCN,PCN Code,Practice,BNF Chemical Substance plus Code,Items,Actual Cost,ADQ Usage,DDD Usage,List Size
202305,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),131,5994.08259149143,,,13021
202305,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,Mometasone/glycopyrronium/indacaterol (0302000W0),1,41.9177020384016,,,13021
202305,QHM,00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,Fluticasone/umeclidinium/vilanterol (0302000Z0),37,1634.76557949766,,,13021
202305,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),125,5826.38698333782,,,26934
202305,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,Formoterol/glycopyrronium/budesonide (0302000Y0),2,83.8354040768032,,,26934
202305,QHM,00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,Fluticasone/umeclidinium/vilanterol (0302000Z0),90,4359.26741199377,,,26934
202305,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),12,586.823028537622,,,7804
202305,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,Fluticasone/umeclidinium/vilanterol (0302000Z0),36,1592.84787745926,,,7804
202305,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),22,922.189444844835,,,5995
202305,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,Formoterol/glycopyrronium/budesonide (0302000Y0),1,41.9177020384016,,,5995
202305,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,Fluticasone/umeclidinium/vilanterol (0302000Z0),22,1006.00004892164,,,5995
202305,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),24,1089.83545299844,,,10099
202305,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,Mometasone/glycopyrronium/indacaterol (0302000W0),1,41.9177020384016,,,10099
202305,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,Formoterol/glycopyrronium/budesonide (0302000Y0),3,125.753106115205,,,10099
202305,QHM,00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,VILLAGE MEDICAL GROUP,Fluticasone/umeclidinium/vilanterol (0302000Z0),37,1844.29208968967,,,10099
202305,QHM,00L00,DUMMY,-,NDUC NORTHUMBERLAND OOH,Fluticasone/umeclidinium/vilanterol (0302000Z0),1,41.9177020384016,,,
202305,QHM,00L00,DUMMY,-,RIVERSDALE SURGERY,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),6,251.50621223041,,,5963
202305,QHM,00L00,DUMMY,-,RIVERSDALE SURGERY,Fluticasone/umeclidinium/vilanterol (0302000Z0),10,419.177020384016,,,5963
202305,QHM,00L00,DUMMY,-,THE ADDERLANE SURGERY,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),5,251.49381223041,,,2006
202305,QHM,00L00,DUMMY,-,THE ADDERLANE SURGERY,Fluticasone/umeclidinium/vilanterol (0302000Z0),1,83.8230040768032,,,2006
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),73,3227.61345695692,,,11919
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,Formoterol/glycopyrronium/budesonide (0302000Y0),1,41.9177020384016,,,11919
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,COQUET MEDICAL GROUP,Fluticasone/umeclidinium/vilanterol (0302000Z0),39,1676.69568153606,,,11919
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),31,1299.44876319045,,,5094
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,Formoterol/glycopyrronium/budesonide (0302000Y0),1,41.9177020384016,,,5094
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,CRAMLINGTON MEDICAL GROUP,Fluticasone/umeclidinium/vilanterol (0302000Z0),44,1886.28419172807,,,5094
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),9,377.259318345614,,,4087
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,Mometasone/glycopyrronium/indacaterol (0302000W0),4,167.670808153606,,,4087
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,ELSDON AVENUE SURGERY,Fluticasone/umeclidinium/vilanterol (0302000Z0),18,754.518636691229,,,4087
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),4,167.670808153606,,,5370
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,Mometasone/glycopyrronium/indacaterol (0302000W0),1,41.9177020384016,,,5370
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,Formoterol/glycopyrronium/budesonide (0302000Y0),1,41.9177020384016,,,5370
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT,Fluticasone/umeclidinium/vilanterol (0302000Z0),17,754.506236691229,,,5370
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),34,1425.12746930565,,,4531
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,NORTHUMBERLAND HEALTH,Fluticasone/umeclidinium/vilanterol (0302000Z0),13,544.880526499221,,,4531
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,PONTELAND MEDICAL GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),10,419.177020384016,,,10794
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,PONTELAND MEDICAL GROUP,Fluticasone/umeclidinium/vilanterol (0302000Z0),16,712.588534652827,,,10794
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,THE ROTHBURY PRACTICE,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),9,461.069922422418,,,6071
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,THE ROTHBURY PRACTICE,Fluticasone/umeclidinium/vilanterol (0302000Z0),23,1299.34956319045,,,6071
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),195,8425.38370971872,,,51637
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,Mometasone/glycopyrronium/indacaterol (0302000W0),3,125.753106115205,,,51637
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,Formoterol/glycopyrronium/budesonide (0302000Y0),3,125.753106115205,,,51637
202305,QHM,00L00,NORTHUMBRIA PCN,U09980,VALENS MEDICAL PARTNERSHIP,Fluticasone/umeclidinium/vilanterol (0302000Z0),269,11443.4830564836,,,51637
202305,QHM,00L00,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),26,1131.76555503684,,,12286
202305,QHM,00L00,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,Formoterol/glycopyrronium/budesonide (0302000Y0),2,83.8354040768032,,,12286
202305,QHM,00L00,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,Fluticasone/umeclidinium/vilanterol (0302000Z0),52,2347.34171415049,,,12286
202305,QHM,00L00,WANSBECK PCN,U11112,GUIDEPOST MEDICAL GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),46,2012.02489784328,,,7973
202305,QHM,00L00,WANSBECK PCN,U11112,GUIDEPOST MEDICAL GROUP,Fluticasone/umeclidinium/vilanterol (0302000Z0),71,2976.15684472651,,,7973
202305,QHM,00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),52,2221.62580803528,,,19031
202305,QHM,00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,Mometasone/glycopyrronium/indacaterol (0302000W0),2,83.8354040768032,,,19031
202305,QHM,00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,Formoterol/glycopyrronium/budesonide (0302000Y0),1,41.9177020384016,,,19031
202305,QHM,00L00,WANSBECK PCN,U11112,SEATON PARK MEDICAL GROUP,Fluticasone/umeclidinium/vilanterol (0302000Z0),98,4107.93479976336,,,19031
202305,QHM,00L00,WANSBECK PCN,U11112,THE GABLES MEDICAL GROUP,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids) (0302000AA),35,1467.08237134406,,,6307
