Year Month,Country,BNF Chemical Substance plus Code,BNF Presentation plus Code,Items,Actual Cost,ADQ Usage,List Size
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorbic acid 50mg tablets (0906031C0AAAFAF),1402,58766.5340996603,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorbic acid 100mg tablets (0906031C0AAAGAG),1079,52495.6004569621,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorbic acid 200mg tablets (0906031C0AAAHAH),601,43801.6437531306,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorbic acid 500mg tablets (0906031C0AAAIAI),2374,160846.455276785,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorbic acid 500mg chewable tablets (0906031C0AAALAL),1,4.6124,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorbic acid 500mg/5ml oral liquid (0906031C0AABGBG),1,271.064733330616,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorbic acid 500mg capsules (0906031C0AABIBI),1,7.96475423469442,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorbic acid 1g chewable tablets (0906031C0AABWBW),4,13.976764858087,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorbic acid powder (0906031C0AACACA),2,10.6108669934716,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Lamberts Vitamin C Time Release 500mg tablets (0906031C0CBAABJ),99,1039.45448220707,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Lamberts Vitamin C Time Release 1000mg tablets (0906031C0CBABBX),57,478.503525988268,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorb 50mg tablets (0906031C0CGAAAF),57,71.3388700324667,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorb 100mg tablets (0906031C0CGABAG),23,45.0295573295471,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorb 200mg tablets (0906031C0CGACAH),79,126.108381596708,,63271011
202401,ENGLAND,Ascorbic acid (0906031C0),Ascorb 500mg tablets (0906031C0CGADAI),109,216.935059013416,,63271011
