Year Month,Country,BNF Chemical Substance plus Code,BNF Presentation plus Code,Items,Actual Cost,ADQ Usage,List Size
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 3,000unit tablets (0906040G0AAACAC)",356,83960.8357975661,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),Colecalciferol 800unit capsules (0906040G0AAANAN),184557,612724.751240439,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 20,000units/5ml oral suspension (0906040G0AAARAR)",1,470.858490319119,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 15,000units/5ml oral suspension (0906040G0AAAUAU)",2,41.3556698082123,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 2,000unit capsules (0906040G0AABABA)",10,527.559521239999,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),Colecalciferol 600unit capsules (0906040G0AABFBF),582,11094.5518891292,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 1,000unit tablets (0906040G0AABGBG)",57311,194322.786596796,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 1,000unit capsules (0906040G0AABHBH)",20388,178505.743354899,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),Colecalciferol 400unit capsules (0906040G0AABIBI),16340,36773.4674956375,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 6,000unit capsules (0906040G0AABLBL)",3,612.090032805823,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 10,000units/ml oral solution (0906040G0AABMBM)",6,141.544816297283,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 5,000units/5ml oral solution (0906040G0AABNBN)",22,648.722035587491,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 2,000units/ml oral drops sugar free (0906040G0AABTBT)",1269,28251.9010068664,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 300,000units/1ml inj ampoules (0906040G0AACHCH)",14,751.335310997318,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),Colecalciferol 400units/dose oral spray sugar free (0906040G0AACICI),171,1819.89681965034,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),Colecalciferol 800units/ml oral drops sugar free (0906040G0AACJCJ),25,6595.16867944571,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 20,000units/ml oral drops (0906040G0AACLCL)",1,355.859041219577,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 5,000unit tablets (0906040G0AACNCN)",564,4692.47385323957,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 2,200unit tablets (0906040G0AACPCP)",395,4538.39799651809,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 10,000unit tablets (0906040G0AACQCQ)",217,44077.9728387646,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 20,000unit tablets (0906040G0AACRCR)",946,105842.971563664,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),Colecalciferol 800unit tablets (0906040G0AACSCS),36531,170799.806579819,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 10,000units/5ml oral solution (0906040G0AACUCU)",27,1453.58242392635,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 40,000unit capsules (0906040G0AACVCV)",2118,19060.0374354555,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 50,000unit tablets (0906040G0AACYCY)",1144,15474.917802702,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),Colecalciferol 200units/drop oral drops sugar free (0906040G0AADADA),1951,14253.481582895,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 2,000unit tablets (0906040G0AADBDB)",2102,319410.902910073,,62604001
202305,ENGLAND,Colecalciferol (0906040G0),"Colecalciferol 2,000unit orodispersible tablets sugar free (0906040G0AADDDD)",182,1098.75860029562,,62604001
