Practice code,Practice,COPD Register
A83001,ST ANDREW'S MEDICAL PRACTICE,427
A83003,WILLINGTON MEDICAL GROUP,292
A83007,BLACKHALL AND PETERLEE PRACTICE,462
A83008,HALLGARTH SURGERY,235
A83009,BRIDGE END SURGERY,168
A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP,176
A83012,WILLIAM BROWN CENTRE,621
A83014,BELMONT & SHERBURN MEDICAL GROUP,151
A83015,STATION VIEW MEDICAL CENTRE,346
A83016,TANFIELD VIEW MEDICAL GROUP,432
A83018,CONSETT MEDICAL CENTRE,468
A83020,NORTH HOUSE SURGERY,606
A83021,AUCKLAND MEDICAL GROUP,670
A83022,THE MEDICAL GROUP,717
A83023,STANLEY MEDICAL GROUP,424
A83024,WEST RAINTON SURGERY,183
A83025,BISHOPGATE MEDICAL CENTRE,445
A83026,SACRISTON MEDICAL CENTRE,263
A83027,COXHOE MEDICAL PRACTICE,167
A83028,MIDDLE CHARE MEDICAL GROUP,210
A83029,GREAT LUMLEY SURGERY,107
A83030,DUNELM MEDICAL PRACTICE,326
A83032,WOODVIEW MEDICAL PRACTICE,107
A83033,PELTON & FELLROSE MEDICAL GROUP,302
A83035,THE WEARDALE PRACTICE,246
A83036,CHASTLETON MEDICAL GROUP,185
A83037,BEWICK CRESCENT SURGERY,451
A83038,CEDARS MEDICAL GROUP,113
A83041,MURTON MEDICAL CENTRE,346
A83043,OLD FORGE SURGERY,73
A83044,THE HORDEN GROUP PRACTICE,345
A83045,FERRYHILL AND CHILTON MEDICAL PRACTICE,665
A83046,BARNARD CASTLE SURGERY,225
A83049,QUEENS ROAD SURGERY,362
A83050,CESTRIA HEALTH CENTRE,282
A83051,MARLBOROUGH SURGERY,409
A83052,BISHOPS CLOSE MEDICAL PRACTICE,321
A83054,SKERNE MEDICAL GROUP,455
A83055,CHEVELEY PARK MEDICAL CTR,96
A83057,EAST DURHAM MEDICAL GROUP,776
A83060,PINFOLD MEDICAL PRACTICE,67
A83061,GAINFORD SURGERY,65
A83066,JUBILEE MEDICAL GROUP,350
A83071,THE NEW SEAHAM MEDICAL GROUP,141
A83072,LANCHESTER MEDICAL CENTRE,65
A83073,DRS LAMBERT & NG,220
A83074,PEASE WAY MEDICAL CENTRE,364
A83075,BYRON MEDICAL PRACTICE,348
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,136
A83616,BEVAN MEDICAL GROUP,396
A83617,BROWNEY HOUSE SURGERY,71
A83618,OAKFIELDS HEALTH GROUP,240
A83619,SOUTHDENE MEDICAL CENTRE,170
A83622,THE HAVEN SURGERY,50
A83626,EVENWOOD MEDICAL PRACTICE,76
A83627,SILVERDALE FAMILY PRACTICE,327
A83634,WEST CORNFORTH MEDICAL CENTRE,115
A83635,BOWBURN MEDICAL CENTRE,77
A83636,LEADGATE SURGERY,245
