date,sicbl,pcn,pcn_code,practice,practice_code,list_size,antidepressant_items,antidepressant_items_per_patient,antidepressant_patients,hrt_items,hrt_items_per_patient,hrt_patients,pct_patients_on_hrt,imd_score
202301,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5656,409,72.3125884,273,130,22.9844413,72,1.3,15.15
202302,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5657,401,70.88562842,267,128,22.62683401,71,1.3,15.15
202303,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5654,429,75.87548638,286,148,26.17615847,82,1.5,15.15
202304,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5657,448,79.19391904,299,131,23.15715043,73,1.3,15.15
202305,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5667,374,65.99611788,249,125,22.05752603,69,1.2,15.15
202306,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5672,483,85.1551481,322,165,29.09026798,92,1.6,15.15
202307,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5672,452,79.68970381,301,172,30.32440056,96,1.7,15.15
202308,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5672,456,80.39492243,304,141,24.85895628,78,1.4,15.15
202309,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5669,472,83.25983419,315,154,27.16528488,86,1.5,15.15
202310,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5679,447,78.71104068,298,158,27.82179961,88,1.5,15.15
202311,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5683,419,73.72866444,279,137,24.10698575,76,1.3,15.15
202312,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5686,456,80.19697503,304,149,26.20471333,83,1.5,15.15
202401,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5679,470,82.76104948,313,150,26.4131009,83,1.5,15.15
202402,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5669,393,69.32439584,262,137,24.16651967,76,1.3,15.15
202403,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5661,451,79.6679032,301,129,22.78749338,72,1.3,15.15
202404,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5669,444,78.32069148,296,146,25.75410125,81,1.4,15.15
202405,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5669,438,77.26230376,292,147,25.93049921,82,1.4,15.15
202406,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5671,451,79.52742021,301,174,30.68241933,97,1.7,15.15
202407,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5669,458,80.79026283,305,132,23.2845299,73,1.3,15.15
202408,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5674,441,77.72294677,294,148,26.08389143,82,1.4,15.15
202409,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5658,420,74.23117709,280,128,22.62283492,71,1.3,15.15
202410,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5663,424,74.87197598,283,132,23.30920007,73,1.3,15.15
202411,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5662,428,75.59166372,285,135,23.84316496,75,1.3,15.15
202412,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5666,439,77.47970349,293,152,26.82668549,84,1.5,15.15
202501,00L,WELL UP NORTH PCN,U25545,ALNWICK MEDICAL GROUP,A84006,5663,433,76.46123963,289,132,23.30920007,73,1.3,15.15
202301,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3654,395,108.1007115,263,70,19.15708812,39,1.1,12.42
202302,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3662,309,84.38012015,206,55,15.01911524,31,0.8,12.42
202303,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3677,396,107.6964917,264,97,26.38020125,54,1.5,12.42
202304,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3683,321,87.1572088,214,62,16.83410263,34,0.9,12.42
202305,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3686,349,94.68258275,233,57,15.46391753,32,0.9,12.42
202306,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3691,397,107.5589271,265,89,24.11270658,49,1.3,12.42
202307,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3696,356,96.32034632,237,76,20.56277056,42,1.1,12.42
202308,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3696,348,94.15584416,232,72,19.48051948,40,1.1,12.42
202309,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3704,378,102.0518359,252,75,20.24838013,42,1.1,12.42
202310,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3715,364,97.98115747,243,71,19.11170929,39,1,12.42
202311,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3719,412,110.7824684,275,70,18.82226405,39,1,12.42
202312,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3730,392,105.0938338,261,68,18.230563,38,1,12.42
202401,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3750,431,114.9333333,287,58,15.46666667,32,0.9,12.42
202402,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3756,353,93.9829606,235,77,20.50053248,43,1.1,12.42
202403,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3757,363,96.61964333,242,63,16.76869843,35,0.9,12.42
202404,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3770,350,92.83819629,233,81,21.48541114,45,1.2,12.42
202405,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3774,383,101.4838368,255,80,21.19766826,44,1.2,12.42
202406,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3780,360,95.23809524,240,80,21.16402116,44,1.2,12.42
202407,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3785,381,100.660502,254,85,22.45706737,47,1.2,12.42
202408,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3793,372,98.07540206,248,78,20.56419721,43,1.1,12.42
202409,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3796,398,104.8472076,265,78,20.54794521,43,1.1,12.42
202410,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3806,418,109.8265896,279,82,21.54492906,46,1.2,12.42
202411,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3812,365,95.75026233,243,79,20.72402938,44,1.2,12.42
202412,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3819,409,107.0960985,273,62,16.23461639,34,0.9,12.42
202501,00L,WANSBECK PCN,U11112,BEDLINGTONSHIRE MED.GROUP,A84005,3831,400,104.4113808,267,80,20.88227617,44,1.1,12.42
202301,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1352,98,72.4852071,65,18,13.31360947,10,0.7,21.97
202302,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1349,84,62.26834692,56,23,17.04966642,13,1,21.97
202303,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1353,92,67.99704361,61,19,14.0428677,11,0.8,21.97
202304,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1352,90,66.56804734,60,27,19.9704142,15,1.1,21.97
202305,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1353,93,68.73614191,62,18,13.3037694,10,0.7,21.97
202306,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1355,99,73.06273063,66,30,22.1402214,17,1.3,21.97
202307,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1355,91,67.15867159,61,26,19.18819188,14,1,21.97
202308,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1355,97,71.58671587,65,27,19.92619926,15,1.1,21.97
202309,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1351,77,56.99481865,51,20,14.803849,11,0.8,21.97
202310,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1352,119,88.01775148,79,25,18.49112426,14,1,21.97
202311,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1348,80,59.34718101,53,16,11.8694362,9,0.7,21.97
202312,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1347,106,78.69339272,71,29,21.52932442,16,1.2,21.97
202401,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1347,80,59.39123979,53,20,14.84780995,11,0.8,21.97
202402,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1344,91,67.70833333,61,26,19.3452381,14,1,21.97
202403,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1342,90,67.06408346,60,24,17.88375559,13,1,21.97
202404,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1337,90,67.31488407,60,23,17.2026926,13,1,21.97
202405,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1341,73,54.43698732,49,20,14.9142431,11,0.8,21.97
202406,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1342,105,78.2414307,70,30,22.35469449,17,1.3,21.97
202407,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1341,113,84.26547353,75,25,18.64280388,14,1,21.97
202408,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1340,108,80.59701493,72,27,20.14925373,15,1.1,21.97
202409,00L,WELL UP NORTH PCN,U25545,BELFORD MEDICAL PRACTICE,A84008,1345,99,73.60594796,66,29,21.56133829,16,1.2,21.97
