ICB plus Code,Commissioner / Provider Code,PCN,PCN Code,Practice,Practice Code,Items,Actual Cost,Year Month,BNF Chemical Substance,BNF Chemical Substance Code,List Size
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,A84014,627,1772.385903,202412,Salbutamol,0301011R0,13679
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,A84014,21,236.8077955,202412,Terbutaline sulphate,0301011V0,13679
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,A84014,554,1731.021301,202501,Salbutamol,0301011R0,13673
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,A84014,17,173.6775318,202501,Terbutaline sulphate,0301011V0,13673
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,A84014,476,1475.659465,202502,Salbutamol,0301011R0,13700
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,BLYTH PCN,U25489,MARINE MEDICAL GROUP,A84014,15,165.7663715,202502,Terbutaline sulphate,0301011V0,13700
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,A84009,1126,3960.033474,202412,Salbutamol,0301011R0,27138
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,A84009,15,165.7691769,202412,Terbutaline sulphate,0301011V0,27138
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,A84009,1098,3740.62308,202501,Salbutamol,0301011R0,27117
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,A84009,17,150.0229775,202501,Terbutaline sulphate,0301011V0,27117
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,A84009,919,3161.56797,202502,Salbutamol,0301011R0,27049
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,BLYTH PCN,U25489,RAILWAY MEDICAL GROUP,A84009,11,110.5233143,202502,Terbutaline sulphate,0301011V0,27049
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,A84038,252,813.4898852,202412,Salbutamol,0301011R0,8921
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,A84038,9,78.96073184,202412,Terbutaline sulphate,0301011V0,8921
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,A84038,249,649.5845048,202501,Salbutamol,0301011R0,8963
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,A84038,6,55.26836013,202501,Terbutaline sulphate,0301011V0,8963
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,A84038,245,717.814994,202502,Salbutamol,0301011R0,8981
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,FORUM FAMILY PRACTICE,A84038,5,47.37067758,202502,Terbutaline sulphate,0301011V0,8981
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,A84037,261,719.8294518,202412,Salbutamol,0301011R0,5989
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,A84037,4,39.47416592,202412,Terbutaline sulphate,0301011V0,5989
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,A84037,274,844.7305337,202501,Salbutamol,0301011R0,5987
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,A84037,4,39.47385724,202501,Terbutaline sulphate,0301011V0,5987
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD (QHM),00L00,CRAMLINGTON SEATON VALLEY PCN,U24977,NETHERFIELD HOUSE,A84037,224,654.0304659,202502,Salbutamol,0301011R0,5992
